Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304111011,promo_widget / leadplan,Belgrade,1,0,0,0
0,202304111011,yandex / cpc,Moscow,0,0,0,0
0,202304111011,yandex / cpc,Tver,0,0,0,0
0,202304111012,yandex / cpc,Moscow,0,0,0,0
0,202304111013,google / organic,Yaroslavl,0,0,0,0
0,202304111014,google / organic,Yaroslavl,0,0,0,0
0,202304111015,yandex / cpc,Perm,1,0,0,0
0,202304111016,yandex / cpc,Perm,0,0,0,0
0,202304111016,yandex / cpc,Tver,0,0,1,0
0,202304111018,(direct) / (none),Moscow,1,0,0,0
0,202304111020,(direct) / (none),Moscow,0,0,0,0
0,202304111022,google / organic,Saransk,1,0,0,0
0,202304111024,gdeslon / cpa,London,1,0,0,0
0,202304111025,bing / organic,Vienna,1,0,0,0
0,202304111026,bing / organic,Vienna,0,0,0,0
0,202304111026,gdeslon / cpa,London,0,0,0,0
0,202304111026,yandex / cpc,Tver,0,0,0,0
0,202304111026,yandex / cpc,Yekaterinburg,1,0,0,0
0,202304111027,yandex / cpc,Yekaterinburg,0,0,0,0
0,202304111028,(direct) / (none),Perm,1,0,0,0
0,202304111028,google / organic,Chelyabinsk,1,0,0,0
0,202304111028,yandex / cpc,Novosibirsk,1,0,0,0
0,202304111029,bing / organic,Vienna,0,0,0,0
0,202304111029,google / organic,Chelyabinsk,0,0,0,0
0,202304111029,yandex / cpc,Novosibirsk,0,0,0,0
0,202304111031,blog.alter.ru / referral,Saint Petersburg,1,0,0,0
0,202304111032,(direct) / (none),Perm,0,0,0,0
0,202304111032,google / organic,Chelyabinsk,0,0,0,0
0,202304111032,yandex / cpc,Domodedovo,1,0,0,0
0,202304111032,yandex / cpc,Novosibirsk,0,0,0,0
0,202304111033,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111033,yandex / cpc,Novosibirsk,0,0,0,0
0,202304111034,(direct) / (none),Perm,0,0,0,0
0,202304111034,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111034,google / organic,Chelyabinsk,0,0,0,0
0,202304111034,promo_widget / leadplan,Belgrade,0,0,0,0
0,202304111035,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111036,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111037,(direct) / (none),Saint Petersburg,1,0,0,0
0,202304111037,promo_widget / leadplan,Belgrade,0,0,0,0
0,202304111038,(direct) / (none),Saint Petersburg,0,0,0,0
0,202304111038,promo_widget / leadplan,Belgrade,0,0,1,0
0,202304111039,(direct) / (none),Tomsk,1,0,0,0
0,202304111039,promo_widget / leadplan,Belgrade,0,0,0,0
0,202304111040,(direct) / (none),Tomsk,0,0,0,0
0,202304111040,google / organic,Chelyabinsk,0,0,0,0
0,202304111041,(direct) / (none),Tomsk,0,0,0,0
0,202304111042,(direct) / (none),Saint Petersburg,0,0,0,0
0,202304111042,blog.alter.ru / referral,Saint Petersburg,0,0,0,0
0,202304111043,google / organic,(not set),1,0,0,0
0,202304111043,youtube / influence,Moscow,1,0,0,0
0,202304111044,youtube / influence,Moscow,0,0,0,0
0,202304111045,promo_widget / leadplan,Belgrade,0,1,0,0
0,202304111045,trigger_letter / email,Stary Oskol,1,0,0,0
0,202304111046,google / organic,Moscow,1,0,0,0
0,202304111048,trigger_letter / email,Stary Oskol,0,0,0,0
0,202304111050,instagram / smm,Moscow,1,0,0,0
0,202304111050,trigger_letter / email,Stary Oskol,0,0,0,0
0,202304111051,instagram / smm,Moscow,0,0,0,0
0,202304111052,google / organic,Annonay,1,0,0,0
0,202304111052,trigger_letter / email,Stary Oskol,0,0,0,0
0,202304111052,yandex / cpc,Orenburg,1,0,0,0
0,202304111053,yandex / cpc,(not set),1,0,0,0
0,202304111053,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304111054,instagram / smm,Moscow,0,0,0,0
0,202304111054,yandex / cpc,Saint Petersburg,0,0,0,0
0,202304111056,(direct) / (none),(not set),1,0,0,0
0,202304111056,yandex / cpc,Saint Petersburg,0,0,0,0
0,202304111057,(direct) / (none),(not set),0,0,0,0
0,202304111057,yandex / cpc,Saint Petersburg,0,0,0,0
0,202304111058,(direct) / (none),(not set),0,0,0,0
0,202304111100,google / organic,Yakutsk,1,0,0,0
0,202304111101,(direct) / (none),Moscow,1,0,0,0
0,202304111101,google / organic,Yakutsk,0,0,0,0
0,202304111102,(direct) / (none),Moscow,0,0,0,0
0,202304111102,(direct) / (none),Tbilisi,1,0,0,0
0,202304111103,google / organic,Moscow,1,0,0,0
0,202304111103,google / organic,Nizhny Novgorod,1,0,0,0
0,202304111103,yandex / cpc,Moscow,1,0,0,0
0,202304111104,google / organic,Yakutsk,0,0,0,0
0,202304111104,yandex / cpc,Moscow,0,0,0,0
0,202304111104,yandex / cpc,Naberezhnye Chelny,1,0,0,0
0,202304111105,(direct) / (none),(not set),1,0,0,0
0,202304111105,google / organic,Yakutsk,0,0,0,0
0,202304111105,yandex / cpc,(not set),0,0,0,0
0,202304111106,(direct) / (none),(not set),0,0,0,0
0,202304111106,(direct) / (none),Moscow,0,0,0,0
0,202304111106,yandex / cpc,(not set),0,0,0,0
0,202304111107,(direct) / (none),(not set),0,0,0,0
0,202304111107,(direct) / (none),Moscow,0,0,0,0
0,202304111107,yandex / cpc,(not set),0,0,0,0
0,202304111111,(direct) / (none),(not set),1,0,0,0
0,202304111111,google / organic,Moscow,1,0,0,0
0,202304111112,google / organic,Krasnodar,1,0,0,0
0,202304111115,google / organic,Krasnodar,0,0,0,0
0,202304111118,(direct) / (none),Frankfurt,1,0,0,0
0,202304111118,trigger_letter / email,Stary Oskol,0,0,0,0
0,202304111119,google / organic,Irkutsk,1,0,0,0
0,202304111119,google / organic,Moscow,1,0,0,0
0,202304111119,youtube / influence,Tbilisi,1,0,0,0
0,202304111120,google / organic,Yekaterinburg,1,0,0,0
0,202304111120,youtube / influence,Tbilisi,0,0,0,0
0,202304111121,google / organic,Yekaterinburg,0,0,0,0
0,202304111122,google / organic,Irkutsk,0,0,0,0
0,202304111122,youtube / influence,Tbilisi,0,0,0,0
0,202304111123,google / organic,Domodedovo,1,0,0,0
0,202304111123,google / organic,Irkutsk,0,0,1,0
0,202304111123,google / organic,Moscow,1,0,0,0
0,202304111123,google / organic,Yakutsk,0,0,0,0
0,202304111123,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304111123,youtube / influence,Tbilisi,0,0,0,0
0,202304111124,google / organic,Moscow,0,0,0,0
0,202304111124,google / organic,Yakutsk,0,0,0,0
